customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,California,F,Master,0,0,1000,0,Personal Auto,Luxury,2
QZ44356,Unknow,Unknow,Bachelor,0,0,94,0,Personal Auto,Unknow,1131
AI49188,Unknow,Unknow,Bachelor,0,48767,108,0,Personal Auto,Unknow,566
WW63253,Unknow,Unknow,Bachelor,0,0,106,0,Corporate Auto,Unknow,529
GA49547,Unknow,Unknow,High School or Below,0,36357,68,0,Personal Auto,Unknow,17
OC83172,Unknow,Unknow,Bachelor,0,62902,69,0,Personal Auto,Unknow,159
XZ87318,Unknow,Unknow,College,0,55350,67,0,Corporate Auto,Unknow,321
CF85061,Unknow,Unknow,Master,0,0,101,0,Corporate Auto,Unknow,363
DY87989,Unknow,Unknow,Bachelor,0,14072,71,0,Corporate Auto,Unknow,511
BQ94931,Unknow,Unknow,College,0,28812,93,0,Special Auto,Unknow,425
SX51350,Unknow,Unknow,College,0,0,67,0,Personal Auto,Unknow,482
VQ65197,Unknow,Unknow,College,0,0,110,0,Personal Auto,Unknow,528
DP39365,Unknow,Unknow,Master,0,77026,110,2,Corporate Auto,Unknow,472
SJ95423,Unknow,Unknow,High School or Below,0,99845,110,1,Corporate Auto,Unknow,528
IL66569,Unknow,Unknow,College,0,83689,70,2,Corporate Auto,Unknow,307
BW63560,Unknow,Unknow,Bachelor,0,24599,64,1,Corporate Auto,Unknow,42
FV94802,Unknow,Unknow,High School or Below,0,25049,67,0,Personal Auto,Unknow,454
OE15005,California,Unknow,College,0,28855,101,0,Personal Auto,Unknow,647
WC83389,Unknow,Unknow,College,0,51148,72,0,Personal Auto,Unknow,308
FL50705,Unknow,Unknow,High School or Below,0,66140,101,0,Corporate Auto,Unknow,484
ZK25313,Unknow,Unknow,High School or Below,0,57749,74,0,Personal Auto,Unknow,355
QK46697,Unknow,Unknow,Bachelor,0,61040,79,1,Personal Auto,Unknow,20
YH23384,Unknow,Unknow,Bachelor,0,14072,71,0,Personal Auto,Unknow,511
TZ98966,Unknow,Unknow,Bachelor,0,0,73,3,Corporate Auto,Unknow,554
HM55802,Unknow,Unknow,Bachelor,0,17870,61,0,Corporate Auto,Unknow,439
FS42516,Unknow,Unknow,College,0,97541,72,0,Personal Auto,Unknow,389
US89481,Unknow,Unknow,Bachelor,0,0,111,0,Personal Auto,Unknow,799
HS14476,Unknow,Unknow,College,0,29723,80,0,Personal Auto,Unknow,20
GE62437,Arizona,Unknow,College,0,86584,111,2,Personal Auto,Unknow,532
EJ77678,Unknow,Unknow,Master,0,75690,80,1,Personal Auto,Unknow,384
SV85652,Unknow,Unknow,College,0,23158,63,1,Personal Auto,Unknow,322
UL64533,Unknow,Unknow,High School or Below,0,65999,237,0,Corporate Auto,Luxury,615
PF41800,Unknow,Unknow,Bachelor,0,0,65,0,Personal Auto,Unknow,308
HD95276,Unknow,Unknow,College,0,0,130,0,Personal Auto,Unknow,23
SK67821,Unknow,Unknow,Bachelor,0,37260,62,0,Corporate Auto,Unknow,15
YV55495,Unknow,Unknow,High School or Below,0,68987,71,0,Personal Auto,Unknow,204
KY38074,Unknow,Unknow,Bachelor,0,42305,117,0,Personal Auto,Unknow,561
DM79012,Unknow,Unknow,Master,0,65706,91,0,Personal Auto,Unknow,436
CM61827,Unknow,Unknow,Bachelor,0,0,90,0,Personal Auto,Unknow,648
WC35801,Unknow,Unknow,High School or Below,0,53243,66,2,Personal Auto,Unknow,157
QG25316,Unknow,Unknow,High School or Below,0,0,70,1,Corporate Auto,Unknow,484
MB98372,Unknow,Unknow,College,0,50071,71,0,Corporate Auto,Unknow,18
IL19217,Unknow,Unknow,Bachelor,0,60021,99,0,Personal Auto,Unknow,882
SR38658,Unknow,Unknow,High School or Below,0,43244,103,0,Personal Auto,Luxury,494
YD87931,Unknow,Unknow,Doctor,0,46896,35354,1,Personal Auto,Unknow,31
HG65722,Unknow,Unknow,Doctor,0,10105,172,3,Personal Auto,Unknow,0
BU27331,Unknow,Unknow,Bachelor,0,0,73,3,Personal Auto,Unknow,579
XM45289,Unknow,Unknow,High School or Below,0,23218,71,0,Personal Auto,Unknow,447
KP34198,Unknow,Unknow,Bachelor,0,0,92,0,Corporate Auto,Unknow,529
SH90947,Unknow,Unknow,High School or Below,0,0,62,0,Personal Auto,Unknow,313
WE95729,Unknow,Unknow,College,0,24804,104,0,Personal Auto,Unknow,593
PY51963,Unknow,Unknow,Bachelor,0,33190,106,0,Corporate Auto,Unknow,508
RB69909,Unknow,Unknow,High School or Below,0,36014,69,3,Special Auto,Unknow,173
NW21079,Unknow,Unknow,Master,0,67163,61,2,Personal Auto,Unknow,33
FR46645,Unknow,Unknow,Bachelor,0,16701,113,0,Personal Auto,Unknow,831
SY17488,Unknow,Unknow,College,0,46623,91,0,Corporate Auto,Unknow,436
AP67935,Unknow,Unknow,College,0,64749,64,0,Special Auto,Unknow,302
FS37417,Unknow,Unknow,High School or Below,0,0,101,0,Personal Auto,Unknow,484
ML29312,Unknow,Unknow,High School or Below,0,16969,124,2,Personal Auto,Unknow,704
UB61619,Unknow,Unknow,Master,0,11621,108,0,Personal Auto,Unknow,518
CD86811,Unknow,Unknow,Bachelor,0,17622,65,1,Personal Auto,Unknow,312
RU83859,Unknow,Unknow,Bachelor,0,11489,105,0,Personal Auto,Unknow,504
FG63582,Unknow,Unknow,Bachelor,0,0,94,0,Personal Auto,Unknow,863
NN71951,Unknow,Unknow,High School or Below,0,66525,100,0,Personal Auto,Unknow,104
WB37082,Unknow,Unknow,Bachelor,0,0,63,0,Personal Auto,Unknow,676
SM52139,Washington,Unknow,College,0,33663,73,0,Personal Auto,Unknow,350
FL82372,Unknow,Unknow,College,0,22547,112,0,Corporate Auto,Unknow,537
DP45816,Arizona,Unknow,High School or Below,0,61486,97,0,Personal Auto,Unknow,465
GW33762,Unknow,Unknow,Bachelor,0,0,95,0,Personal Auto,Unknow,456
RZ33670,Unknow,Unknow,College,0,29879,102,0,Personal Auto,Unknow,500
PY70169,Unknow,Unknow,High School or Below,0,93011,113,0,Personal Auto,Unknow,281
MO91628,Unknow,Unknow,Master,0,65186,65,0,Personal Auto,Unknow,5
HW87852,Unknow,Unknow,Master,0,26840,64,2,Personal Auto,Unknow,307
HB20453,Unknow,Unknow,Bachelor,0,0,104,1,Personal Auto,Luxury,982
BN87372,Unknow,Unknow,Bachelor,0,75644,65,3,Personal Auto,Unknow,467
YX23800,Unknow,Unknow,Bachelor,0,38984,73,0,Personal Auto,Unknow,350
DZ87709,Unknow,Unknow,High School or Below,0,71811,71,0,Personal Auto,Unknow,29
XW13033,Unknow,Unknow,College,0,20961,67,0,Personal Auto,Unknow,321
SP81997,Unknow,Unknow,Master,0,41275,96,0,Personal Auto,Unknow,41
OM82309,Unknow,Unknow,Bachelor,0,61321,186,1,Personal Auto,Luxury,427
ZU35962,Unknow,Unknow,College,0,0,77,0,Personal Auto,Unknow,25
VH85817,Unknow,Unknow,High School or Below,0,51066,74,0,Personal Auto,Unknow,787
DT85712,Unknow,Unknow,Doctor,0,34378,102,0,Personal Auto,Unknow,489
YJ88573,Unknow,Unknow,Master,0,43072,63,0,Personal Auto,Unknow,302
SQ19467,Unknow,Unknow,College,0,25222,90,0,Personal Auto,Unknow,475
YB66933,Unknow,Unknow,Bachelor,0,77552,68,1,Corporate Auto,Unknow,45
ET79815,Unknow,Unknow,College,0,23091,96,5,Personal Auto,Unknow,460
QC35222,Unknow,Unknow,Bachelor,0,48269,69,3,Corporate Auto,Unknow,282
CJ15590,Unknow,Unknow,Bachelor,0,32720,67,0,Personal Auto,Unknow,321
OI48267,Unknow,Unknow,College,0,20396,76,1,Personal Auto,Unknow,364
JY67916,Unknow,Unknow,College,0,21513,119,1,Personal Auto,Unknow,679
OW15518,Unknow,Unknow,College,0,0,87,1,Personal Auto,Unknow,46
CZ33664,Unknow,Unknow,Bachelor,0,80744,63,0,Corporate Auto,Unknow,11
WK30175,Unknow,Unknow,Bachelor,0,52822,67,0,Corporate Auto,Unknow,350
ON44465,Unknow,Unknow,High School or Below,0,0,77,1,Personal Auto,Unknow,863
TV87155,Unknow,Unknow,Bachelor,0,69738,74,1,Personal Auto,Unknow,492
KH48895,Arizona,Unknow,Master,0,17780,109,0,Personal Auto,Unknow,132
NZ30757,Unknow,Unknow,Bachelor,0,18107,62,0,Personal Auto,Unknow,297
RI22468,Arizona,Unknow,Bachelor,0,57740,74,3,Personal Auto,Unknow,269
FZ30935,Unknow,Unknow,College,0,32627,76,0,Personal Auto,Unknow,380
UG93476,Unknow,Unknow,College,0,0,107,0,Personal Auto,Unknow,513
AB96670,Unknow,Unknow,College,0,0,70,0,Personal Auto,Unknow,425
XK64261,Unknow,Unknow,Bachelor,0,65795,62,1,Corporate Auto,Unknow,49
EV68375,Unknow,Unknow,College,0,60475,107,0,Personal Auto,Unknow,513
UN51653,Unknow,Unknow,High School or Below,0,0,130,0,Personal Auto,Unknow,936
TO96662,Unknow,Unknow,Bachelor,0,41837,88,0,Personal Auto,Unknow,142
MR52087,Unknow,Unknow,Bachelor,0,32303,65,0,Personal Auto,Unknow,45
DE75225,Unknow,Unknow,High School or Below,0,0,117,1,Personal Auto,Unknow,561
EP80820,Unknow,Unknow,Bachelor,0,40531,74,0,Personal Auto,Unknow,30
GU99037,Unknow,Unknow,College,0,79898,62,1,Corporate Auto,Unknow,271
WI57118,Unknow,Unknow,College,0,56398,85,0,Personal Auto,Unknow,408
GP39118,Unknow,Unknow,High School or Below,0,71600,63,0,Personal Auto,Unknow,46
MQ14219,Arizona,Unknow,College,0,27804,109,0,Personal Auto,Unknow,784
KN20603,Unknow,Unknow,Bachelor,0,45506,66,2,Personal Auto,Unknow,316
SG20925,Unknow,Unknow,Master,0,99428,6464,1,Personal Auto,Unknow,48
JI70886,Unknow,Unknow,High School or Below,0,0,102,1,Corporate Auto,Unknow,489
VF72557,Unknow,Unknow,High School or Below,0,20993,133,0,Personal Auto,Unknow,638
OX28638,Arizona,Unknow,High School or Below,0,37839,86,0,Personal Auto,Unknow,465
SK55033,Unknow,Unknow,Bachelor,0,92711,62,0,Personal Auto,Unknow,368
OO88645,Unknow,Unknow,College,0,74665,78,2,Corporate Auto,Unknow,236
FM14335,Unknow,Unknow,College,0,61108,89,0,Personal Auto,Unknow,49
CW82151,Unknow,Unknow,Bachelor,0,46833,112,0,Personal Auto,Luxury,64
DY22043,Unknow,Unknow,High School or Below,0,88768,68,0,Personal Auto,Unknow,326
SH36774,Unknow,Unknow,High School or Below,0,28262,192,0,Personal Auto,Luxury,921
EM43724,Unknow,Unknow,Bachelor,0,33555,63,0,Personal Auto,Unknow,101
FH85960,Unknow,Unknow,College,0,42780,113,1,Personal Auto,Unknow,542
XA55993,Unknow,Unknow,Master,0,58850,78,0,Personal Auto,Unknow,143
GO36627,Arizona,Unknow,College,0,21880,97,0,Special Auto,Unknow,424
QH48047,Unknow,Unknow,College,0,25251,66,0,Personal Auto,Unknow,316
HS28694,Unknow,Unknow,High School or Below,0,25317,71,0,Personal Auto,Unknow,50
UH65059,Arizona,Unknow,High School or Below,0,24188,109,0,Personal Auto,Luxury,523
FV21968,Unknow,Unknow,Bachelor,0,41611,74,0,Special Auto,Unknow,113
QA87025,Unknow,Unknow,Bachelor,0,28406,72,1,Personal Auto,Unknow,192
TQ13499,Arizona,Unknow,College,0,69833,118,0,Personal Auto,Unknow,828
BU44523,Arizona,Unknow,High School or Below,0,0,74,0,Corporate Auto,Unknow,532
MS41162,Arizona,Unknow,High School or Below,0,0,117,0,Personal Auto,Unknow,975
PU25891,Unknow,Unknow,High School or Below,0,80536,119,0,Special Auto,Luxury,53
LH92841,Unknow,Unknow,Bachelor,0,88891,89,0,Personal Auto,Unknow,50
SX26335,Unknow,Unknow,College,0,97732,79,0,Personal Auto,Unknow,289
AZ95587,Arizona,Unknow,Bachelor,0,61222,89,0,Special Auto,Unknow,392
DS81757,Unknow,Unknow,College,0,0,74,0,Personal Auto,Unknow,721
OJ94107,Arizona,Unknow,Master,0,50335,140,0,Personal Auto,Unknow,456
LP84436,Unknow,Unknow,High School or Below,0,0,127,0,Personal Auto,Luxury,1087
